iter	Logloss
602	0.5651740275
603	0.5651114457
604	0.5650514773
605	0.565005015
606	0.5649509396
607	0.5648925207
608	0.564855153
609	0.5648047129
610	0.5647679057
611	0.5647077165
612	0.5646586258
613	0.564620224
614	0.5645484902
615	0.5644952387
616	0.5644561579
617	0.5644041461
618	0.564356057
619	0.5643121759
620	0.5642758035
621	0.5642232589
622	0.5641879765
623	0.5641450284
624	0.5640953585
625	0.5640306077
626	0.5639638035
627	0.5639108561
628	0.5638813068
629	0.5638287697
630	0.5637916941
631	0.5637474952
632	0.5637046518
633	0.5636465326
634	0.5636126177
635	0.56355507
636	0.563495721
637	0.5634205164
638	0.5633831025
639	0.5633192815
640	0.5632756902
641	0.5632121125
642	0.563161417
643	0.5631165551
644	0.5630843852
645	0.5630478324
646	0.5630098395
647	0.5629553207
648	0.5629078229
649	0.5628619256
